,Date,Name,Max Wind
0,1851,           UNNAMED,80.0
15,1851,           UNNAMED,80.0
17,1851,           UNNAMED,50.0
19,1851,           UNNAMED,100.0
69,1851,           UNNAMED,50.0
86,1851,           UNNAMED,60.0
104,1852,           UNNAMED,100.0
150,1852,           UNNAMED,70.0
159,1852,           UNNAMED,70.0
180,1852,           UNNAMED,80.0
217,1852,           UNNAMED,90.0
243,1853,           UNNAMED,50.0
245,1853,           UNNAMED,40.0
247,1853,           UNNAMED,130.0
296,1853,           UNNAMED,100.0
309,1853,           UNNAMED,50.0
311,1853,           UNNAMED,70.0
334,1853,           UNNAMED,50.0
336,1853,           UNNAMED,90.0
351,1854,           UNNAMED,70.0
363,1854,           UNNAMED,60.0
365,1854,           UNNAMED,110.0
391,1854,           UNNAMED,90.0
403,1854,           UNNAMED,60.0
416,1855,           UNNAMED,90.0
418,1855,           UNNAMED,90.0
425,1855,           UNNAMED,70.0
427,1855,           UNNAMED,60.0
444,1855,           UNNAMED,110.0
456,1856,           UNNAMED,130.0
471,1856,           UNNAMED,70.0
480,1856,           UNNAMED,50.0
493,1856,           UNNAMED,50.0
495,1856,           UNNAMED,100.0
536,1856,           UNNAMED,70.0
557,1857,           UNNAMED,50.0
566,1857,           UNNAMED,90.0
614,1857,           UNNAMED,70.0
635,1857,           UNNAMED,90.0
665,1858,           UNNAMED,70.0
667,1858,           UNNAMED,70.0
669,1858,           UNNAMED,90.0
686,1858,           UNNAMED,80.0
719,1858,           UNNAMED,80.0
734,1858,           UNNAMED,90.0
757,1859,           UNNAMED,90.0
759,1859,           UNNAMED,90.0
772,1859,           UNNAMED,70.0
779,1859,           UNNAMED,90.0
787,1859,           UNNAMED,70.0
804,1859,           UNNAMED,110.0
825,1859,           UNNAMED,60.0
837,1859,           UNNAMED,80.0
862,1860,           UNNAMED,110.0
898,1860,           UNNAMED,90.0
911,1860,           UNNAMED,90.0
935,1860,           UNNAMED,70.0
937,1860,           UNNAMED,60.0
954,1860,           UNNAMED,90.0
972,1860,           UNNAMED,90.0
991,1861,           UNNAMED,90.0
1020,1861,           UNNAMED,80.0
1039,1861,           UNNAMED,90.0
1064,1861,           UNNAMED,70.0
1066,1861,           UNNAMED,70.0
1074,1861,           UNNAMED,60.0
1091,1861,           UNNAMED,50.0
1093,1861,           UNNAMED,70.0
1109,1862,           UNNAMED,50.0
1122,1862,           UNNAMED,90.0
1136,1862,           UNNAMED,90.0
1171,1862,           UNNAMED,50.0
1173,1862,           UNNAMED,70.0
1188,1862,           UNNAMED,60.0
1203,1863,           UNNAMED,90.0
1212,1863,           UNNAMED,90.0
1221,1863,           UNNAMED,90.0
1240,1863,           UNNAMED,90.0
1249,1863,           UNNAMED,70.0
1282,1863,           UNNAMED,60.0
1298,1863,           UNNAMED,50.0
1305,1863,           UNNAMED,50.0
1310,1863,           UNNAMED,60.0
1323,1864,           UNNAMED,70.0
1336,1864,           UNNAMED,60.0
1338,1864,           UNNAMED,70.0
1365,1864,           UNNAMED,50.0
1382,1864,           UNNAMED,70.0
1395,1865,           UNNAMED,50.0
1397,1865,           UNNAMED,50.0
1399,1865,           UNNAMED,60.0
1420,1865,           UNNAMED,90.0
1458,1865,           UNNAMED,60.0
1460,1865,           UNNAMED,70.0
1462,1865,           UNNAMED,90.0
1497,1866,           UNNAMED,90.0
1517,1866,           UNNAMED,90.0
1540,1866,           UNNAMED,70.0
1555,1866,           UNNAMED,70.0
1557,1866,           UNNAMED,90.0
1570,1866,           UNNAMED,120.0
1619,1866,           UNNAMED,60.0
1627,1867,           UNNAMED,70.0
1639,1867,           UNNAMED,90.0
1668,1867,           UNNAMED,90.0
1670,1867,           UNNAMED,70.0
1687,1867,           UNNAMED,50.0
1689,1867,           UNNAMED,90.0
1700,1867,           UNNAMED,90.0
1735,1867,           UNNAMED,40.0
1737,1867,           UNNAMED,110.0
1755,1868,           UNNAMED,90.0
1774,1868,           UNNAMED,70.0
1804,1868,           UNNAMED,90.0
1817,1868,           UNNAMED,90.0
1830,1869,           UNNAMED,90.0
1835,1869,           UNNAMED,90.0
1845,1869,           UNNAMED,70.0
1850,1869,           UNNAMED,60.0
1859,1869,           UNNAMED,70.0
1869,1869,           UNNAMED,100.0
1882,1869,           UNNAMED,90.0
1915,1869,           UNNAMED,60.0
1917,1869,           UNNAMED,50.0
1919,1869,           UNNAMED,90.0
1930,1870,           UNNAMED,70.0
1932,1870,           UNNAMED,90.0
1957,1870,           UNNAMED,60.0
1974,1870,           UNNAMED,110.0
1995,1870,           UNNAMED,80.0
2012,1870,           UNNAMED,100.0
2053,1870,           UNNAMED,70.0
2055,1870,           UNNAMED,70.0
2062,1870,           UNNAMED,90.0
2081,1870,           UNNAMED,90.0
2083,1870,           UNNAMED,70.0
2104,1871,           UNNAMED,50.0
2126,1871,           UNNAMED,50.0
2140,1871,           UNNAMED,100.0
2182,1871,           UNNAMED,100.0
2240,1871,           UNNAMED,90.0
2257,1871,           UNNAMED,70.0
2275,1871,           UNNAMED,70.0
2309,1871,           UNNAMED,70.0
2324,1872,           UNNAMED,50.0
2347,1872,           UNNAMED,90.0
2404,1872,           UNNAMED,70.0
2453,1872,           UNNAMED,70.0
2482,1872,           UNNAMED,70.0
2511,1873,           UNNAMED,40.0
2520,1873,           UNNAMED,100.0
2585,1873,           UNNAMED,70.0
2599,1873,           UNNAMED,50.0
2613,1873,           UNNAMED,100.0
2673,1874,           UNNAMED,50.0
2689,1874,           UNNAMED,70.0
2710,1874,           UNNAMED,80.0
2753,1874,           UNNAMED,50.0
2778,1874,           UNNAMED,50.0
2795,1874,           UNNAMED,80.0
2823,1874,           UNNAMED,90.0
2844,1875,           UNNAMED,70.0
2861,1875,           UNNAMED,70.0
2902,1875,           UNNAMED,100.0
2948,1875,           UNNAMED,50.0
2967,1875,           UNNAMED,90.0
2984,1875,           UNNAMED,70.0
3005,1876,           UNNAMED,80.0
3018,1876,           UNNAMED,100.0
3052,1876,           UNNAMED,50.0
3065,1876,           UNNAMED,90.0
3092,1876,           UNNAMED,100.0
3142,1877,           UNNAMED,60.0
3161,1877,           UNNAMED,70.0
3196,1877,           UNNAMED,70.0
3225,1877,           UNNAMED,100.0
3287,1877,           UNNAMED,50.0
3312,1877,           UNNAMED,50.0
3337,1877,           UNNAMED,50.0
3357,1877,           UNNAMED,50.0
3370,1878,           UNNAMED,40.0
3384,1878,           UNNAMED,70.0
3430,1878,           UNNAMED,80.0
3443,1878,           UNNAMED,90.0
3468,1878,           UNNAMED,90.0
3524,1878,           UNNAMED,90.0
3553,1878,           UNNAMED,120.0
3614,1878,           UNNAMED,70.0
3644,1878,           UNNAMED,70.0
3677,1878,           UNNAMED,100.0
3706,1878,           UNNAMED,90.0
3740,1878,           UNNAMED,60.0
3773,1879,           UNNAMED,70.0
3790,1879,           UNNAMED,100.0
3823,1879,           UNNAMED,90.0
3849,1879,           UNNAMED,110.0
3871,1879,           UNNAMED,50.0
3893,1879,           UNNAMED,50.0
3927,1879,           UNNAMED,70.0
3953,1879,           UNNAMED,90.0
3970,1880,           UNNAMED,40.0
3990,1880,           UNNAMED,130.0
4036,1880,           UNNAMED,80.0
4061,1880,           UNNAMED,90.0
4099,1880,           UNNAMED,80.0
4140,1880,           UNNAMED,70.0
4167,1880,           UNNAMED,80.0
4180,1880,           UNNAMED,120.0
4213,1880,           UNNAMED,70.0
4239,1880,           UNNAMED,80.0
4268,1880,           UNNAMED,60.0
4289,1881,           UNNAMED,50.0
4305,1881,           UNNAMED,80.0
4338,1881,           UNNAMED,40.0
4354,1881,           UNNAMED,70.0
4379,1881,           UNNAMED,90.0
4417,1881,           UNNAMED,90.0
4439,1881,           UNNAMED,60.0
4468,1882,           UNNAMED,70.0
4474,1882,           UNNAMED,110.0
4522,1882,           UNNAMED,50.0
4533,1882,           UNNAMED,50.0
4550,1882,           UNNAMED,70.0
4571,1882,           UNNAMED,120.0
4617,1883,           UNNAMED,80.0
4662,1883,           UNNAMED,110.0
4703,1883,           UNNAMED,110.0
4743,1883,           UNNAMED,70.0
4772,1884,           UNNAMED,70.0
4797,1884,           UNNAMED,100.0
4854,1884,           UNNAMED,80.0
4900,1884,           UNNAMED,90.0
4945,1885,           UNNAMED,80.0
4982,1885,           UNNAMED,90.0
5015,1885,           UNNAMED,50.0
5029,1885,           UNNAMED,80.0
5059,1885,           UNNAMED,70.0
5076,1885,           UNNAMED,70.0
5114,1885,           UNNAMED,80.0
5131,1885,           UNNAMED,60.0
5149,1886,           UNNAMED,85.0
5162,1886,           UNNAMED,85.0
5196,1886,           UNNAMED,85.0
5220,1886,           UNNAMED,75.0
5265,1886,           UNNAMED,130.0
5306,1886,           UNNAMED,105.0
5359,1886,           UNNAMED,100.0
5382,1886,           UNNAMED,85.0
5419,1886,           UNNAMED,85.0
5456,1886,           UNNAMED,105.0
5482,1886,           UNNAMED,45.0
5507,1886,           UNNAMED,60.0
5529,1887,           UNNAMED,60.0
