,Year,Month,States Affected and Category by States,Highest Saffir- Simpson U.S. Category,Central Pressure (mb),Max Wind (kt),Name,Temp
0,1851,Jun,"TX, C1",1,974,80,-----,-0.19
1,1851,Aug,"FL, NW3; I-GA, 1",3,955,100,"""Great Middle Florida""",-0.19
2,1852,Aug,"AL, 3; MS, 3; LA, 2; FL, SW2, NW1",3,961,100,"""Great Mobile""",-0.38
3,1852,Sep,"FL, SW1",1,982,70,-----,-0.38
4,1852,Oct,"FL, NW2; I-GA, 1",2,965,90,"""Middle Florida""",-0.38
5,1853,Oct,"* GA, 1",1,965,70,-----,-0.18
6,1854,Jun,"TX, S1",1,982,70,-----,-0.22
7,1854,Sep,"GA, 3; SC, 2; FL, NE1",3,950,100,"""Great Carolina""",-0.22
8,1854,Sep,"TX, C2",2,965,90,"""Matagorda""",-0.22
9,1855,Sep,"LA, 3; MS, 3",3,945,110,"""Middle Gulf Shore""",-0.1
10,1856,Aug,"LA, 4",4,934,130,"""Last Island""",-0.17
11,1856,Aug,"FL, NW2; I-AL, 1; I-GA, 1",2,965,90,"""Southeastern States""",-0.17
12,1857,Sep,"NC, 2",2,961,90,-----,-0.37
13,1858,Sep,"NY, 1; CT, 1; RI, 1; MA, 1",1,976,80,"""New England""",-0.19
14,1859,Sep,"AL, 1; FL, NW1",1,982,70,-----,-0.07
15,1859,Oct,"FL, SW1, SE1",1,974,80,-----,-0.07
16,1860,Aug,"LA, 3; MS, 3; AL, 2",3,945,110,-----,-0.17
17,1860,Sep,"LA, 2; MS, 2; AL, 1",2,965,90,-----,-0.17
18,1860,Oct,"LA, 2",2,965,90,-----,-0.17
19,1861,Aug,"* FL, SW1",1,978,70,"""Key West""",-0.28
20,1861,Sep,"NC, 1",1,985,70,"""Equinoctial""",-0.28
21,1861,Nov,"NC, 1",1,985,70,"""Expedition""",-0.28
22,1865,Sep,"LA, 2; TX, N1",2,965,90,"""Sabine River""",-0.14
23,1865,Oct,"FL, SW2, SE1",2,969,90,-----,-0.14
24,1866,Jul,"TX, C2",2,965,90,-----,-0.15
25,1867,Jun,"SC, 1",1,985,70,-----,-0.17
26,1867,Oct,"LA, 2; TX, S1, N1; FL, NW1",2,965,90,"""Galveston""",-0.17
27,1869,Aug,"TX, C2",2,965,90,"""Lower Texas Coast""",-0.09
28,1869,Sep,"LA, 1",1,982,70,-----,-0.09
29,1869,Sep,"RI, 3; MA, 3; NY, 1; CT, 1",3,963,100,"""Eastern New England""",-0.09
30,1869,Oct,"& ME, 2; MA, 1",2,965,90,"""Saxby's Gale""",-0.09
31,1870,Jul,"AL, 1",1,982,70,"""Mobile""",-0.09
32,1870,Oct,"* FL, SW1, SE1",1,970,70,"""Twin Key West (I)""",-0.09
33,1870,Oct,"FL, SW1",1,977,80,"""Twin Key West (II)""",-0.09
34,1871,Aug,"FL, SE3, NE1, NW1",3,955,100,-----,-0.02
35,1871,Aug,"FL, SE2, NE1",2,965,90,-----,-0.02
36,1871,Sep,"FL, NW1, SW1",1,982,70,-----,-0.02
37,1873,Sep,"FL, NW1",1,982,70,-----,-0.42
38,1873,Oct,"FL, SW3, SE2, NE1",3,959,100,-----,-0.42
39,1874,Sep,"FL, NW1; SC, 1; NC, 1",1,981,80,-----,-0.28
40,1875,Sep,"TX, C3, S2",3,955,100,-----,-0.22
41,1876,Sep,"NC, 1; VA, 1",1,980,80,-----,-0.27
42,1876,Oct,"FL, SW2, SE1",2,973,90,-----,-0.27
43,1877,Sep,"LA, 1; FL, NW1",1,982,70,-----,-0.09
44,1877,Oct,"FL, NW3; I-GA, 1",3,955,100,-----,-0.09
45,1878,Sep,"FL, NW2, SW2, NE1; SC, 1; GA, 1",2,970,90,-----,0.08
46,1878,Oct,"NC, 2; VA, 1; MD, 1; DE, 1; NJ, 1; I-PA, 1",2,963,90,-----,0.08
47,1879,Aug,"NC, 3; VA, 2; MA, 1",3,971,100,-----,-0.05
48,1879,Aug,"TX, N2; LA, 2",2,964,90,-----,-0.05
49,1879,Sep,"LA, 3",3,945,110,-----,-0.05
50,1880,Aug,"# TX, S3",3,931,110,-----,-0.14
51,1880,Aug,"FL, SE2, NE1, NW1",2,972,90,-----,-0.14
52,1880,Sep,"NC, 1",1,987,70,-----,-0.14
53,1880,Oct,"FL, NW1",1,982,70,-----,-0.14
54,1881,Aug,"GA, 2; SC, 1",2,970,90,-----,-0.02
55,1881,Sep,"NC, 2",2,975,90,-----,-0.02
56,1882,Sep,"FL, NW3; I-AL, 1",3,949,110,-----,-0.19
57,1882,Oct,"FL, NW1",1,985,70,-----,-0.19
58,1883,Sep,"NC, 2; SC, 1",2,965,90,-----,-0.18
